#Longitude	Latitude
39.554	-6.3892
39.388	-5.7610
	
39.333	-4.6462
38.914	-6.2790
39.454	-7.5553
39.564	-8.7839
39.873	-9.6700
40.491	-10.390
	
55.276	-4.5688
	
46.444	-9.4186
	
113.91	-21.866
114.00	-22.276
114.85	-21.732
116.17	-20.844
117.53	-20.658
119.43	-20.035
120.00	-19.808
	
115.07	-30.000
114.81	-29.142
113.50	-26.757
113.41	-26.381
113.37	-25.585
114.12	-26.073
113.30	-24.451
113.62	-22.818
113.91	-21.866
	
103.57	0.0000
103.53	-0.67000
104.66	-1.7452
105.54	-2.3656
106.02	-3.7715
105.95	-5.4621
105.03	-5.6165
104.03	-5.1088
102.47	-3.9374
101.09	-2.3213
100.14	-0.38180
99.824	0.0000
	
98.838	-0.93610
99.246	-1.7562
98.838	-0.93610
	
104.45	-0.48160
104.64	-0.35960
104.45	-0.48170
	
105.26	-1.8892
105.75	-1.6676
106.31	-2.2770
106.75	-3.0411
105.76	-2.0886
105.26	-1.8892
	
107.79	-2.5428
108.23	-3.1518
107.76	-2.5760
107.79	-2.5428
	
112.15	-8.2573
111.27	-8.1586
109.88	-7.7414
108.81	-7.6425
107.22	-7.4887
106.47	-6.9718
105.34	-6.6306
105.95	-6.3221
107.39	-5.9033
108.80	-6.7737
110.09	-6.8727
111.24	-6.6636
112.12	-6.8397
113.06	-7.6535
114.39	-8.3889
112.98	-8.3560
112.15	-8.2573
	
117.58	0.0000
117.14	-1.1799
116.49	-2.1551
116.24	-3.0632
115.77	-3.7051
114.70	-3.9706
113.93	-3.4174
113.05	-3.1850
112.04	-3.4396
111.74	-2.7754
110.89	-3.0079
110.21	-2.4320
109.90	-1.0358
109.20	-0.082500
109.20	0.0000
	
116.27	-3.2846
116.37	-3.9153
116.26	-3.2625
116.27	-3.2846
	
120.00	-8.6268
119.86	-8.5972
120.00	-8.4449
	
120.00	-9.8173
119.22	-9.3964
120.00	-9.2763
	
117.11	-8.4108
118.10	-8.6410
118.59	-8.2683
118.94	-8.6739
117.29	-9.0791
117.11	-8.4108
	
116.10	-8.4547
116.53	-8.9368
116.10	-8.4547
	
115.04	-8.0927
115.26	-8.8164
114.91	-8.0707
115.04	-8.0927
	
112.80	-6.9278
113.97	-7.0928
112.80	-6.9278
	
115.30	-6.7847
	
120.00	-5.1028
119.57	-4.6891
118.92	-2.8418
119.80	-0.60350
119.95	0.0000
	
120.00	-19.808
121.27	-19.305
121.97	-18.351
122.41	-17.000
122.97	-16.830
123.65	-16.883
124.09	-16.501
124.45	-15.543
125.24	-15.159
125.77	-14.645
126.28	-14.097
127.01	-13.947
127.99	-15.244
128.10	-15.094
128.85	-14.891
129.56	-14.730
129.80	-13.549
130.51	-12.685
131.20	-12.382
132.51	-12.133
131.84	-11.396
	
131.84	-11.396
132.01	-11.526
132.60	-11.602
133.48	-11.895
134.42	-12.123
135.39	-12.090
135.80	-12.263
136.16	-12.296
136.71	-12.610
136.34	-13.290
135.87	-13.516
135.66	-14.677
136.28	-15.436
137.67	-16.310
139.21	-17.318
140.86	-17.434
141.59	-15.116
141.68	-12.826
142.22	-11.026
142.22	-11.000
	
142.72	-11.026
143.07	-12.166
143.54	-13.559
144.55	-14.280
145.28	-15.650
